Species	M	L	T	N	R
Alnus.glutinosa	7.171384534	5.223968931	4.233473665	5.869831352	5.705406018
Bilderdykia.convolvulus	4.00406499	7.057278923	4.57788456	5.628914429	6.196869625
Calamagrostis.canescens	7.092427791	5.946029374	3.738396927	5.107457654	5.374772021
Carex.elongata	7.283282191	3.992404896	3.938946808	5.880245269	6.446884044
Fraxinus.excelsior	5.147315149	4.523195487	4.260892923	6.980345337	7.190140524
Impatiens.parviflora	4.62406082	3.570683628	4.464072673	6.928979601	6.127607463
Myosoton.aquaticum	6.303925215	6.163044832	4.039576852	7.842467606	6.471919446
Phragmites.australis	7.4768798	6.981272033	4.304147843	6.331488452	6.776834177
Ribes.nigrum	6.623643763	3.616748675	3.828451933	5.812488855	5.55581722
Ribes.spicatum	6.038955744	3.607942524	3.569730523	6.973767432	6.534396131
Rubus.idaeus	4.703843645	6.057149602	3.717045073	6.693849624	5.549838994
Sambucus.nigra	4.819785828	5.91604539	4.36264798	8.579684125	6.284831939
Sorbus.aucuparia	4.789459713	5.681489504	3.836686972	3.9200855	4.152753332
Thelypteris.palustris	6.966321632	5.06567054	4.157335392	5.251805408	5.417704375
Ulmus.laevis	6.09877195	3.959573495	4.456942387	7.30247658	6.912257692
Urtica.dioica	5.01366738	5.416376879	4.054575169	8.740946003	6.614087083
Carex.elata	7.76729829	7.22438786	4.161674865	4.670989855	5.998192895
Acer.pseudoplatanus	5.052250589	3.798876374	4.162479102	6.891850372	5.919568757
Athyrium.filix.femina	5.576756747	2.788738622	3.992439985	5.732821619	5.043348466
Carex.paniculata	7.332109283	6.618155296	4.082781554	4.722465078	6.979583984
Deschampsia.caespitosa	5.892609489	6.087201424	3.639460907	3.85766272	5.163413907
Equisetum.sylvaticum	5.739229388	2.941825257	2.994638157	4.183860812	3.953190114
Galium.aparine	4.625990148	6.145360419	4.472060355	8.498615337	5.953818806
Galium.palustre	7.180026265	6.097396814	3.839188854	4.354121526	5.515549914
Impatiens.noli.tangere	5.779181567	3.220484011	3.987918321	6.767155538	6.772936996
Peucedanum.palustre	7.10919876	6.561715452	4.163105757	4.194094038	5.447692582
Prunus.padus	5.980409887	5.074963088	3.684631427	6.100887158	6.642912132
Quercus.robur	4.802554149	6.241076731	4.686014864	4.486143044	5.221696527
Scutellaria.galericulata	7.055394693	6.505354953	4.129819715	6.048589996	6.489737679
Calamagrostis.epigeios	4.441392632	6.704505212	3.974273951	6.021250498	5.941901794
Carduus.crispus	4.995405071	6.824404233	4.26942755	8.920253666	6.828536269
Cirsium.arvense	4.267631765	7.754875517	4.117642794	6.897855033	5.967269619
